DB_SERVER        CUSTOMERID           INSTITUTIONID ORG_TIMEZONE                                                                                                                                                                                                                                              ORG_CODE                                       ORG_NAME
DWH_NA01_A_RO        110           121 Australia/Brisbane                                                                                                                                                                                                                                              EXLDEV1_INST                                       The Asia-Pacific Alma Library
DWH_NA01_A_RO        300           301 Asia/Jerusalem                                                                                                                                                                                                                                                  QA_1_INST                                          QA - Provisioning
DWH_NA01_A_RO        480           481 Australia/Sydney                                                                                                                                                                                                                                                ANZ_DEMO_1                                         ANZ Demo
DWH_NA01_A_RO        500           501 US/Eastern                                                                                                                                                                                                                                                      TRAINING_NZ_CLEAN                                  Network
DWH_NA01_A_RO        500           502 US/Central                                                                                                                                                                                                                                                      TRAINING_MEMBER1_CLEAN                             Network - Member 1
DWH_NA01_A_RO        500           503 US/Central                                                                                                                                                                                                                                                      TRAINING_MEMBER2_CLEAN                             Network - Member 2
DWH_NA01_A_RO        510           521 US/Central                                                                                                                                                                                                                                                      TRAINING_1_INST                                    Alma Institution
DWH_NA01_A_RO        570           571 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_1_INST                                       Alma Trial 1
DWH_NA01_A_RO        572           573 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_2_INST                                       Alma Trial 2
DWH_NA01_A_RO        574           575 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_3_INST                                       Alma Trial 3
DWH_NA01_A_RO        580           581 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_6_INST                                       Alma Trial 6
DWH_NA01_A_RO        582           583 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_7_INST                                       Alma Trial 7
DWH_NA01_A_RO        584           585 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_8_INST                                       Alma Trial 8
DWH_NA01_A_RO        586           587 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_9_INST                                       Alma Trial 9
DWH_NA01_A_RO        588           589 US/Eastern                                                                                                                                                                                                                                                      TRIAL_10_INST                                      Alma Trial 10
DWH_NA01_A_RO        750           751 US/Eastern                                                                                                                                                                                                                                                      TRIAL_ELECTRONIC                                   Alma Electronic Trial
DWH_NA01_A_RO        760           761 Asia/Singapore                                                                                                                                                                                                                                                  ALMASELECT_INST_1                                  Alma Select Demo 1
DWH_NA01_A_RO        760           762 Asia/Singapore                                                                                                                                                                                                                                                  ALMASELECT_INST_2                                  Alma Select Demo 2
DWH_NA01_A_RO        975           976 Asia/Singapore                                                                                                                                                                                                                                                  APAC_DEMO_ALMA_COLLEGE                             APAC DEMO - Alma College
DWH_NA01_A_RO       1740          1752 Australia/West                                                                                                                                                                                                                                                  61MONASH_MA                                        Monash University Malaysia
DWH_NA01_A_RO       1740          1753 Africa/Johannesburg                                                                                                                                                                                                                                             61MONASH_SA                                        Monash University South Africa
DWH_NA01_A_RO       2190          2191 Asia/Singapore                                                                                                                                                                                                                                                  65SIM_INST                                         Singapore Institute Of Management (Singapore)
DWH_NA01_A_RO       2350          2355 Australia/Sydney                                                                                                                                                                                                                                                61UNI_CAM                                          Campion College
DWH_NA01_A_RO       2350          2356 Australia/Sydney                                                                                                                                                                                                                                                61UNI_CIS                                          Catholic Institute of Sydney
DWH_NA01_A_RO       2350          2359 Australia/Sydney                                                                                                                                                                                                                                                61UNI_JMC                                          JMC Academy
DWH_NA01_A_RO       2350          2362 Australia/Sydney                                                                                                                                                                                                                                                61UNI_NPG                                          National Portrait Gallery
DWH_NA01_A_RO       2350          2364 Australia/Sydney                                                                                                                                                                                                                                                61UNI_NPL                                          NSW Police
DWH_NA01_A_RO       2350          2377 Australia/Sydney                                                                                                                                                                                                                                                61UNI_TOP                                          IMC
DWH_NA01_A_RO       2405          2406 Asia/Singapore                                                                                                                                                                                                                                                  65SUTD_INST                                        Singapore University of Technology and Design
DWH_NA01_A_RO       2590          2591 Asia/Seoul                                                                                                                                                                                                                                                      82SNU_INST                                         Seoul National University
DWH_NA01_A_RO       2595          2596 Asia/Seoul                                                                                                                                                                                                                                                      82UNIST_INST                                       Ulsan National Institute of Science and Technology
DWH_NA01_A_RO       2600          2601 Asia/Singapore                                                                                                                                                                                                                                                  65SMU_INST                                         Singapore Management University (SMU)
DWH_NA01_A_RO       3285          3286 Asia/Seoul                                                                                                                                                                                                                                                      82POSTECH_INST                                     POSTECH
DWH_NA01_A_RO       3405          3406 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_NETWORK                                   Joint University Librarians Advisory Committee (JULAC) - Network
DWH_NA01_A_RO       3405          3407 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_CUHK                                      The Chinese University of Hong Kong
DWH_NA01_A_RO       3405          3408 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_CUH                                       City University of Hong Kong
DWH_NA01_A_RO       3405          3409 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKBU                                      Hong Kong Baptist University
DWH_NA01_A_RO       3405          3410 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_EDUHK                                     Education University of Hong Kong
DWH_NA01_A_RO       3405          3411 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKPU                                      Hong Kong Polytechnic University
DWH_NA01_A_RO       3405          3412 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKUST                                     HKUST Library
DWH_NA01_A_RO       3405          3413 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_LUN                                       Lingnan University
DWH_NA01_A_RO       3405          3414 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKU                                       The University of Hong Kong
DWH_NA01_A_RO       3470          3471 Australia/Queensland                                                                                                                                                                                                                                            61SCLQ_INST                                        Supreme Court Library Queensland
DWH_NA01_A_RO       3585          3586 Asia/Singapore                                                                                                                                                                                                                                                  63UAP_INST                                         University of Asia and the Pacific
DWH_NA01_A_RO       4030          4031 Asia/Tokyo                                                                                                                                                                                                                                                      81KEIO_INST                                        KEIO University
DWH_NA01_A_RO       4030          4032 Asia/Tokyo                                                                                                                                                                                                                                                      81SOKEI_WUNI                                       Waseda University
DWH_NA01_A_RO       4030          4033 Japan                                                                                                                                                                                                                                                           81SOKEI_NETWORK                                    SoKei Network
DWH_NA01_A_RO       4030          4034 Japan                                                                                                                                                                                                                                                           81SOKEI_KEIO                                       Keio University
DWH_NA01_A_RO       4055          4056 Asia/Singapore                                                                                                                                                                                                                                                  65SIT_INST                                         Singapore Institute of Technology
DWH_NA01_A_RO       4120          4121 Asia/Taipei                                                                                                                                                                                                                                                     886NKUST_INST                                      National Kaohsiung University of Science and Technology
DWH_NA01_A_RO       4325          4326 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKAPA_INST                                      The Hong Kong Academy for Performing Arts
DWH_NA01_A_RO       4680          4681 Asia/Hong_Kong                                                                                                                                                                                                                                                  852VTC_INST                                        Vocational Training Council
DWH_NA01_A_RO       4785          4786 Asia/Taipei                                                                                                                                                                                                                                                     886NTU_INST                                        ?????? National Taiwan University
DWH_NA01_A_RO       4925          4926 Asia/Singapore                                                                                                                                                                                                                                                  65SUSS_INST                                        Singapore University of Social Sciences
DWH_NA01_A_RO       5060          5061 Japan                                                                                                                                                                                                                                                           81NII_NETWORK                                      National Institute of Informatics - Network
DWH_NA01_A_RO       5060          5062 Japan                                                                                                                                                                                                                                                           81NII_INST1                                        National Institute of Informatics IZ1
DWH_NA01_A_RO       5060          5063 Japan                                                                                                                                                                                                                                                           81NII_INST2                                        National Institute of Informatics IZ2
DWH_NA01_A_RO       5060          5064 Japan                                                                                                                                                                                                                                                           81NII_INST3                                        National Institute of Informatics IZ3
DWH_NA01_A_RO       5075          5076 Asia/Macao                                                                                                                                                                                                                                                      853MUST_INST                                       Macau University of Science and Technology
DWH_NA01_A_RO       5145          5146 Asia/Singapore                                                                                                                                                                                                                                                  65NTU_INST                                         Nanyang Technological University
DWH_NA01_A_RO       5560          5562 Asia/Kuala_Lumpur                                                                                                                                                                                                                                               44NOTTS_UNMC                                       University of Nottingham - Malaysia
DWH_NA01_A_RO       5675          5676 Asia/Hong_Kong                                                                                                                                                                                                                                                  852WKCDA_INST                                      West Kowloon Cultural District Authority
DWH_NA01_A_RO       5695          5696 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKBTS_INST                                      Hong Kong Baptist Theological Seminary
DWH_NA01_A_RO       5720          5721 Asia/Taipei                                                                                                                                                                                                                                                     886NCCU_INST                                       National Chengchi University (??????)
DWH_NA01_A_RO       5910          5911 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_NETWORK                                     U12 Network
DWH_NA01_A_RO       5910          5912 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_TKU                                         TKU ????
DWH_NA01_A_RO       5910          5913 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_SCU                                         ???? / SCU
DWH_NA01_A_RO       5910          5914 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_MCU                                         Ming Chuan University
DWH_NA01_A_RO       6200          6201 Japan                                                                                                                                                                                                                                                           81BU_INST                                          Bukkyo University
DWH_NA01_A_RO       6305          6306 Asia/Macau                                                                                                                                                                                                                                                      853UOM_INST                                        University of Macau
