State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
Andres Ibanez,"Bolivia, Plurinational State of",America/Puerto_Rico,LATAM,Universidad Cristiana de Bolivia,Universidad Cristiana de Bolivia,USD
WI,United States,,NA,University of Wisconsin Madison Libraries,University of Wisconsin Madison Libraries,USD
"BOGOTA, D.C.",Colombia,America/Bogota,LATAM,Universidad Militar Nueva Granada,Nueva Granada Military University,USD
UT,United States,,NA,Tooele City Public Library,TOOELE CITY PUBLIC LIBRARY,USD
,Switzerland,Europe/Brussels,EMEA ANZ,University of Geneva,University of Geneva Art History Library,USD
OH,United States,,NA,Cincinnati Museum Center,Cincinnati Museum Center,USD
SC,United States,,NA,South Carolina State Library,DISCUS South Carolina State Library,USD
Moscow,Russian Federation,,EMEA ANZ,MIVERCOM LLC,Mivercom LLC,USD
Heredia,Costa Rica,America/El_Salvador,LATAM,Colegio Yurusti,Colegio Yurusti,USD
Victoria,Australia,,EMEA ANZ,Marcellin College,Marcellin College,USD
FL,United States,,NA,Tallahassee State College,Tallahassee State College Ghazvini Library and Learning Commons,USD
Cankiri,Turkey,Europe/Istanbul,EMEA ANZ,Sayisal Grafik,,USD
IN,United States,,NA,Valparaiso University,Valparaiso University Christopher Center Library Services,USD
MI,United States,,NA,Houghton Lake Public Library,HOUGHTON LAKE PUBLIC LIBRARY,USD
Tirane,Albania,Europe/Brussels,EMEA ANZ,Canadian Institute of Technology,Canadian Institute of Technology Albania,USD
TN,United States,,NA,Vanderbilt University,Vanderbilt University Jean and Alexander Heard Libraries,USD
MI,United States,,NA,East Lansing Public Library,EAST LANSING PUBLIC LIBRARY,USD
Punjab,Pakistan,Asia/Karachi,APAC,Lahore University of Management Sciences,Lahore University of Management Sciences,USD
ND,United States,,NA,Turtle Mountain Community College,Turtle Mountain Community College,USD
TN,United States,,NA,Dickson County Public Library and Lifelong Learning Center,DICKSON COUNTY PUBLIC LIBRARY,USD
VA,United States,,NA,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University Libraries,USD
PA,United States,,NA,Pittsburgh Technical College,Pittsburgh Technical College Resource Center Library,USD
Hiroshima,Japan,Asia/Tokyo,APAC,Fukuyama Daigaku,Fukuyama University,USD
MA,United States,,NA,Morrill Memorial Library,Morrill Memorial Library,USD
ON,Canada,,NA,Chatham Kent Public Library,Chatham Kent Public Library,USD
GENEVE,Switzerland,Europe/Brussels,EMEA ANZ,Bibliotheques Municipales de la Ville de Geneve,Bibliotheques municipales de la Ville de Geneve,USD
MO,United States,,NA,Hannibal-Lagrange University,Hannibal-LaGrange University,USD
NC,United States,,NA,Granville County Library System,GRANVILLE COUNTY LIBRARY SYSTEM,USD
Tokyo,Japan,Asia/Tokyo,APAC,Research Organization of Information and Systems,Research Organization of Information and Systems ROIS,USD
NY,United States,,NA,Vassar College,Vassar College Thompson Library,USD
GA,United States,,NA,Thomas County Public Library System,Thomas Co Public Lib System,USD
Etelae-Savo,Finland,Europe/Helsinki,EMEA ANZ,South-Eastern Finland Univ of Applied Sciences,Kaakkois-Suomen Ammattikorkeakoulu Oy,USD
ON,Canada,,NA,John F Ross Collegiate Vocational Institute,John F Ross Collegiate Vocational Institute,USD
PA,United States,,NA,Villanova University,Villanova University Falvey Memorial Library,USD
NY,United States,,NA,Brooklyn Law School,Brooklyn Law School Library,USD
NY,United States,,NA,Open Society Institute,Open Society Institute,USD
Gauteng,South Africa,Africa/Johannesburg,EMEA ANZ,IMM Graduate School,IMM Graduate School of Marketing,USD
VA,United States,,NA,Virginia Museum of Fine Arts,Virginia Museum of Fine Arts,USD
REGGIO CALABRIA,Italy,Europe/Rome,EMEA ANZ,Univ degli Studi Mediterranea di Reggio Calabria,Mediterranean University of Reggio Calabria,EUR
VA,United States,,NA,Virginia Commonwealth University,Virginia Commonwealth University,USD
SP,Brazil,,LATAM,Fundacao Escola de Comercio Alvares Penteado,Alvares Penteado School of Commerce Foundation FECAP,USD
TX,United States,,NA,Allen Public Library,Allen Public Library,USD
MA,United States,,NA,Acton Memorial Library,Acton Memorial Library - MA,USD
NY,United States,,NA,Culture Ville de Dollard-des-Ormeau,Axiell ALM Inc - Culture Ville de Dollard-des-Ormeau,USD
MA,United States,,NA,Belmont Public Library,Belmont Public Library,USD
IL,United States,,NA,Geneva Public Library District,GENEVA PUBLIC LIBRARY DISTRICT,USD
NY,United States,,NA,Dorval Public Library,Axiell ALM Inc - Dorval Public Library,USD
MD,United States,,NA,Anne Arundel Public Library,Anne Arundel County Public Library,USD
MA,United States,,NA,Chicopee Public Library,Chicopee Public Library,USD
NY,United States,,NA,Lambton County Library,Axiell ALM Inc - Lambton County Library ON,USD
ON,Canada,,NA,Newmarket Public Library,Newmarket Public Library,USD
VA,United States,,NA,Virginia Union University,Virginia Union Univ,USD
ON,Canada,,NA,Cobourg Public Library,Cobourg Public Library,USD
AL,United States,,NA,Grace Church,"Book Systems, Inc - Grace Church",USD
VA,United States,,NA,Virginia State University,Virginia State University Johnston Memorial Library,USD
CA,United States,,NA,Yorba Linda Public Library,YORBA LINDA PUBLIC LIBRARY,USD
TERAMO,Italy,Europe/Rome,EMEA ANZ,"Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G. Caporale""",,EUR
NY,United States,,NA,Wagner College,Wagner College Horrmann Library,USD
AK,United States,,NA,Kodiak Public Library,Kodiak Public Library,USD
NC,United States,,NA,Wake Forest University,Wake Forest University Law Library,USD
ON,Canada,,NA,Lambton College,Lambton College Library Resource Centre,USD
QUE,Mexico,,LATAM,Universidad Anahuac Queretaro,Universidad Anahuac Queretaro,USD
Hiroshima,Japan,Asia/Tokyo,APAC,Hiroshima Global Academy,Hiroshima Global Academy,USD
ON,Canada,,NA,Northern College,Northern College - Kirkland Lake Campus Library,USD
Umm Al Quwain,United Arab Emirates,Asia/Dubai,EMEA ANZ,British Applied College LLC,British Applied College Umm Al Quwain,USD
QUE,Mexico,,LATAM,The John F. Kennedy - The American School of Queretaro,John F Kennedy School American School of Queretaro,USD
WA,United States,,NA,Western Associated Students Bookstore,Assoc Students Bs - W Wash U,USD
WA,United States,,NA,Walla Walla University,Walla Walla University Library,USD
ON,Canada,,NA,Woodstock Public Library,Woodstock Public Library Ontario,USD
JS,China,Asia/Shanghai,APAC,Huaiyin Institute of Technology,Huaiyin Institute of Technology,USD
MO,United States,,NA,Stephens College,Stephens College Hugh Stephens Library,USD
JS,China,Asia/Shanghai,APAC,Soochow University,Soochow University,USD
MI,United States,,NA,South Lyon High School,South Lyon High School,USD
WA,United States,,NA,Walla Walla College,Walla Walla University,USD
CT,United States,,NA,CTW Library Consortium,CTW Library Consortium,USD
IA,United States,,NA,Wartburg College,Wartburg College Vogel Library,USD
KS,United States,,NA,Washburn University,Washburn University Mabee Library,USD
OK,United States,,NA,Ardmore Public Library - OK,Admore Public Library OK,USD
FL,United States,,NA,Martin County School District,Martin County School District,USD
AH,China,Asia/Shanghai,APAC,Anqing Normal University,Anqing Normal University,USD
MO,United States,,NA,Washington University in St Louis,Washington University in Saint Louis School of Medicine,USD
OK,United States,,NA,Oklahoma Wesleyan University,Oklahoma Wesleyan University,USD
LISBOA,Portugal,,EMEA ANZ,Instituto Superior de Psicologia Aplicada,Higher Institute of Applied Psychology ISPA,EUR
KS,United States,,NA,Barclay College,Barclay College,USD
NJ,United States,,NA,Bristol Myers Squibb Company,PrimeVigilance-BMS,USD
MN,United States,,NA,Minnesota Genealogical Center,Minnesota Genealogical Center,USD
,Kiribati,,APAC,Kiribati Institute of Technology,Kiribati Institute of Technology,AUD
WA,United States,,NA,Washington State University,Washington State University Libraries,USD
TN,United States,,NA,Tennessee Wesleyan University,Tennessee Wesleyan College Merner Pfeiffer Library,USD
UT,United States,,NA,Weber State University,Weber State University Stewart Library,USD
TX,United States,,NA,South Texas College of Law Houston,South Texas College of Law Fred Parks Law Library,USD
Enugu State,Nigeria,Africa/Algiers,EMEA ANZ,Godfrey Okoye University,Godfrey Okoye University,USD
MA,United States,,NA,Wellesley College,Wellesley College Margaret Clapp Library,USD
NC,United States,,NA,Fayetteville Technical Community College,Fayetteville Technical Community College Paul H Thompson Library,USD
BJ,China,Asia/Shanghai,APAC,Space Application Engineering Yu Technology Center,Technology and Engineering Center for Space Utilization,USD
,United Kingdom,Europe/London,EMEA ANZ,AFBI Library - Newforge,Agri-Food and Biosciences Institute Library,USD
JS,China,Asia/Shanghai,APAC,Nanjing Forest Police College,Nanjing Forest Police College,USD
VT,United States,,NA,Brooks Memorial Library,BROOKS MEMORIAL,USD
Western Australia,Australia,,EMEA ANZ,State Library of Western Australia,State Library of Western Australia,USD
OH,United States,,NA,Midpointe Library System,Midpointe Library System,USD
AL,United States,,NA,St. Paul's Catholic School FL,Book Systems Inc - St Paul Catholic School FL,USD
WA,United States,,NA,Bellingham Public Library - WA,Bellingham Public Library,USD
AL,United States,,NA,Sweetwater High School,Book Systems Inc - Sweetwater High School TN,USD
NY,United States,,NA,Patchogue Medford Public Library,PATCHOGUE-MEDFORD LIBRARY,USD
ZUID-HOLLAND,Netherlands,Europe/Amsterdam,EMEA ANZ,Mainpress BV,Mainpress BV,USD
PA,United States,,NA,West Chester University,West Chester University of Pennsylvania Francis Harvey Green Library,USD
MA,United States,,NA,Silver Lake High School,Silver Lake Regional High School,USD
JS,China,Asia/Shanghai,APAC,Nanjing Institute of Technology,??????,USD
KY,United States,,NA,Clark County Public Library,Clark County Public Library - KY,USD
Paris,France,Europe/Paris,EMEA ANZ,Musee d Orsay,Orsay Museum,USD
OR,United States,,NA,Western Oregon University,Western Oregon University Hamersly Library and Media Services,USD
NC,United States,,NA,Pitt County Schools,Pitt County Schools,USD
VIC,Australia,,EMEA ANZ,Camden Library Service,Civica - Camden Library Service,USD
MI,United States,,NA,Western Michigan University,Western Michigan University Dwight B Waldo Library,USD
AZ,United States,,NA,Aspen University,Aspen University,USD
VIC,Australia,,EMEA ANZ,City of Mandurah,Civica Pty Ltd - City of Mandurah,USD
IN,United States,,NA,Indiana University School of Medicine,Indiana University School of Medicine,USD
NC,United States,,NA,Western Carolina University,Western Carolina University Hunter Library,USD
PA,United States,,NA,Main Line Health,Main Line Health,USD
NC,United States,,NA,Wake Forest University Baptist Medical Center,Wake Forest University Baptist Medical Center,USD
VIC,Australia,,EMEA ANZ,Western Downs Libraries,,USD
TX,United States,,NA,West Texas A&M University,West Texas A&M University Cornette Library,USD
PA,United States,,NA,Community Library of the Shenango Valley,COMMUNITY LIBRARY OF THE SHENANGO VALLEY,USD
VIC,Australia,,EMEA ANZ,City of Boroondara Library Service,Civica - City of Boroondara Library Service,USD
PA,United States,,NA,Erie County Public Library,Erie County Public Library,USD
VIC,Australia,,EMEA ANZ,Cessnock City Library,,USD
UT,United States,,NA,Duchesne County Library,Duchesne County Library,USD
VIC,Australia,,EMEA ANZ,Glen Eira Library & Info Systems,Civica - Glen Eira Library & Info Systems,USD
LA,United States,,NA,Louisiana State University,Louisiana State University Middleton Library,USD
NY,United States,,NA,East Baton Rouge Parish Library,Axiell ALM - East Baton Rouge Parish Library,USD
WV,United States,,NA,West Virginia University Morgantown,West Virginia University Libraries,USD
AR,United States,,NA,Pine Bluff and Jefferson County Public Library,Pine Bluff - Jefferson County Library System,USD
ME,United States,,NA,Freeport Community Library,FREEPORT COMMUNITY LIBRARY,USD
NY,United States,,NA,Bradford W Gwillimbury,Axiell ALM Inc - Bradford W Gwillimbury Library,USD
TX,United States,,NA,University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center at Dallas Library,USD
PR,Puerto Rico,,NA,Ponce Health Sciences University,Ponce Health Sciences University Fundacion Angel Rama Library,USD
WV,United States,,NA,Hays Public Library,Library Corporation - Hays Public Library KS,USD
PR,United States,,NA,Escuela de Medicina San Juan Bautista,San Juan Bautista School of Medicine Digital Library,USD
WI,United States,,NA,American Academy of Cosmetic Dentistry,,USD
Lima,Peru,America/Lima,LATAM,Universidad De Lima,Universidad de Lima,USD
MA,United States,,NA,Wheaton College Library,Wheaton College Madeline Clark Wallace Library,USD
Victoria,Australia,,EMEA ANZ,Our Lady of Sion College,OCLC Ltd - Our Lady of Sion College,USD
NY,United States,,NA,GE Aerospace Research,GE Aerospace Research,USD
WA,United States,,NA,Whitworth University,Whitworth University Harriet Cheney Cowles Memorial Library,USD
VIC,Australia,,EMEA ANZ,Lake Macquarie Libraries,Civica - Lake Macquarie Libraries NSW,USD
KS,United States,,NA,Wichita State University,Wichita State University Ablah Library,USD
,New Zealand,,EMEA ANZ,Te Whatu Ora Health New Zealand Lakes Library,Te Whatu Ora Health New Zealand Lakes Library,USD
OR,United States,,NA,Willamette University,Willamette University Mark O Hatfield Library,USD
NU,Canada,,NA,Nunavut Arctic College,Nunavut Arctic College Nunatta Campus,USD
NC,United States,,NA,Winston-Salem State University,Winston-Salem State University C G O'Kelly Library,USD
DC,United States,,NA,NASA Headquarters Library,NASA,USD
VIC,Australia,,EMEA ANZ,Kwinana Public Library,Civica - Kwinana Public Library WA,USD
OK,United States,,NA,Lawton Public Library - OK,Lawton Public Library OK,USD
VIC,Australia,,EMEA ANZ,Wyong,OCLC Ltd - Wyong,USD
IN,United States,,NA,Wells County Public Library,WELLS COUNTY PUBLIC LIBRARY,USD
Eastern Cape,South Africa,Africa/Johannesburg,EMEA ANZ,Walter Sisulu University,Walter Sisulu University,USD
QLD,Australia,,EMEA ANZ,Gawler East Primary School,Softlink Australia Pty Ltd - Gawler East Primary School,USD
MI,United States,,NA,Mason County District Library,MASON COUNTY DISTRICT LIBRARY,USD
QLD,Australia,,EMEA ANZ,All Saints Anglican School,Softlink Australia Pty Ltd - All Saints Anglican School,USD
OH,United States,,NA,Evergreen Community Library,Evergreen Community Library,USD
QLD,Australia,,EMEA ANZ,Alphington Primary School,Softlink Australia Pty Ltd - Alphington Primary School,USD
SC,United States,,NA,Winthrop University,Winthrop University Ida Jane Dacus Library,USD
DC,United States,,NA,USDA ERS,USDA Economic Research Service,USD
VA,United States,,NA,William and Mary,College of William and Mary Earl Gregg Swem Library,USD
GA,United States,,NA,Gwinnett County Public Library,Gwinnett County Public Library,USD
AZ,United States,,NA,VA Phoenix Health Care System,Phoenix VA Health Care System,USD
WA,United States,,NA,Governor John R Rogers High School,Governor John R Rogers High School,USD
QLD,Australia,,EMEA ANZ,Aquinas College - Gold Coast,Softlink Australia Pty Ltd - Aquinas College - Gold Coast,USD
MT,United States,,NA,Blackfeet Community College,Blackfeet Community College Medicine Springs Library,USD
QLD,Australia,,EMEA ANZ,Bay View State School,Softlink Australia Pty Ltd - Bay View State School,USD
OH,United States,,NA,College of Wooster,College of Wooster Andrews Library,USD
Puy-De-Dome,France,Europe/Paris,EMEA ANZ,ESC Clermont,Groupe ESC Clermont,EUR
MA,United States,,NA,Worcester Polytechnic Institute,Worcester Polytechnic Institute George C Gordon Library,USD
ME,United States,,NA,Camden Public Library,CAMDEN PUBLIC LIBRARY,USD
TORINO,Italy,Europe/Rome,EMEA ANZ,CNR Istituto di Geoscienze e Risorse della Terra,Istituto di Geoscienze e Georisorse Consiglio Nazionale delle Ricerche,USD
OH,United States,,NA,Wright Patterson AFB,Wright-Patterson Air Force Base,USD
Aichi,Japan,Asia/Tokyo,APAC,Fujita Ika Daigaku,Fujita Health University,USD
QLD,Australia,,EMEA ANZ,Korobosea International School,Softlink Australia Pty Ltd - Korobosea International School,USD
QLD,Australia,,EMEA ANZ,St Edmund's College,Softlink Australia Pty Ltd - St Edmund's College,USD
OH,United States,,NA,Xavier University OH,Xavier University McDonald Memorial Library,USD
CA,United States,,NA,Mill Valley Public Library,MILL VALLEY PUBLIC LIBRARY,USD
New South Wales,Australia,,EMEA ANZ,Wingecarribee Public Library,Wingecarribee Public Library,USD
QLD,Australia,,EMEA ANZ,St John's Grammar School,Softlink Australia Pty Ltd - St John's Grammar School,USD
IL,United States,,NA,Steger South Chicago Heights Public Library,Steger south Chicago Heights Public Library,USD
FL,United States,,NA,Three Rivers Regional Library System,THREE RIVERS REGIONAL LIBRARY SYSTEM,USD
FL,United States,,NA,City of Tarpon Springs,Tarpon Springs Public Library,USD
CT,United States,,NA,Yale University,Yale University Engineering and Applied Science Library,USD
NY,United States,,NA,Daemen University,Daemen University Marian Library,USD
QLD,Australia,,EMEA ANZ,St Michael's College,Softlink Australia Pty Ltd - St Michael's College,USD
NY,United States,,NA,Yeshiva University,Yeshiva University Libraries,USD
CA,United States,,NA,Torrance Public Library,Torrance Public Library,USD
QLD,Australia,,EMEA ANZ,Timbarra Primary School,Softlink Australia Pty Ltd - Timbarra Primary School,USD
CA,United States,,NA,Charles Drew University of Medicine and Science,Charles R Drew University,USD
Western Australia,Australia,,EMEA ANZ,University of Notre Dame Australia,University of Notre Dame Australia Saint Teresa's Library,AUD
OH,United States,,NA,Youngstown State University,Youngstown State University W F Maag Junior Library,USD
IN,United States,,NA,Scott County Public Library,Scott County Public Library Indiana,USD
Queensland,Australia,,EMEA ANZ,Greymouth High School,Softlink Australia Pty Ltd - Greymouth High School,USD
CO,United States,,NA,Adams State University,Adams State University Nielsen Library,USD
,United Kingdom,Europe/London,EMEA ANZ,Royal College of Physicians,Royal College of Physicians,GBP
LIMBURG,Netherlands,Europe/Amsterdam,EMEA ANZ,Hogeschool Zuyd,Zuyd University of Applied Sciences,USD
GA,United States,,NA,Agnes Scott College,Agnes Scott College McCain Library,USD
OH,United States,,NA,University of Mount Union,University of Mount Union Library,USD
Queensland,Australia,,EMEA ANZ,Papanui High School,Softlink Australia Pty Ltd - Papanui High School,USD
AK,United States,,NA,State of Alaska Department of Fish and Game,State of Alaska Department of Fish and Game Anchorage,USD
NY,United States,,NA,American Museum of Natural History,American Museum Of Natural History,USD
OH,United States,,NA,Cleveland Heights-University Heights Public Library,CLEVELAND HEIGHTS-UNIVERSITY HEIGHTS PL,USD
MI,United States,,NA,Andrews University,Andrews University James White Library,USD
WI,United States,,NA,Chippewa Valley Technical College,Chippewa Valley Technical College,USD
QLD,Australia,,EMEA ANZ,Kelston Boys High School,Softlink Australia Pty Ltd - Kelston Boys High School,USD
ZEELAND,Netherlands,Europe/Amsterdam,EMEA ANZ,HZ University of Applied Sciences,HZ University of Applied Sciences,USD
WA,United States,,NA,Antioch University Seattle,Antioch University Seattle,USD
AR,United States,,NA,Arkansas Travelers,Traveler Full Text Project,USD
NC,United States,,NA,Mooresville Public Library,Mooresville Public Library NC,USD
QLD,Australia,,EMEA ANZ,Apollo Bay P-12 College,Softlink Australia Pty Ltd - Apollo Bay P-12 College,USD
MS,United States,,NA,US Army Corps Of Engineers,US Army Corps of Engineers HECSA Library,USD
NC,United States,,NA,Wilson County Public Library,WILSON COUNTY PUBLIC LIBRARY,USD
SC,United States,,NA,Abbeville County Library - SC,Abbeville County Library System,USD
TX,United States,,NA,Amberton University,Amberton University Learning Resource Center Library,USD
SC,United States,,NA,Greenwood County Library,Greenwood County Library,USD
QLD,Australia,,EMEA ANZ,Emmanuel Anglican College,Softlink Australia Pty Ltd - Emmanuel Anglican College,USD
IL,United States,,NA,Augustana College,Thomas Tredway Library at Augustana College,USD
OK,United States,,NA,Will Rogers Library,Will Rogers Library OK,USD
TX,United States,,NA,Baylor University,Baylor University Libraries,USD
TN,United States,,NA,Johnson City Public Library,JOHNSON CITY PUBLIC LIBRARY,USD
New South Wales,Australia,,EMEA ANZ,Pymble Ladies' College,Pymble Ladies College,USD
AYACUCHO,Peru,America/Lima,LATAM,Universidad Nacional De San Cristobal De Huamanga,Universidad Nacional De San Cristobal De Huamanga,USD
FL,United States,,NA,Palm Beach Atlantic University,Palm Beach Atlantic University Warren Library,USD
VA,United States,,NA,Lewis Egerton Smoot Memorial Library,LEWIS EGERTON SMOOT MEMORIAL LIBRARY,USD
VA,United States,,NA,Smyth County Public Library,SMYTH-BLAND REGIONAL LIBRARY,USD
